2025/01/08 06:00:20 [error] 30#30: *108 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "GET /ja/clients HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083"
2025/01/08 07:48:02 [error] 32#32: *164 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "GET /ja/clientEditCreate HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/clients"
2025/01/17 06:41:16 [error] 34#34: *318 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/clientPersonEditUpdate/3/24?"
2025/01/17 06:49:26 [error] 34#34: *349 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/clientPersonEditUpdate/3/24?"
2025/01/17 06:54:35 [error] 28#28: *360 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "GET /ja/clientPersonEditUpdate/3/24? HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/clientPersonEditUpdate/3/24?"
2025/01/17 06:54:35 [error] 28#28: *361 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/clientPersonEditUpdate/3/24?"
2025/01/17 07:51:07 [error] 30#30: *52 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/clientPersonEditUpdate/3/24"
2025/01/24 02:09:28 [error] 35#35: *296 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "GET /ja/estimates HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/clientEditUpdate/3"
2025/01/24 07:55:47 [error] 29#29: *486 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/estimateEditCreate"
2025/01/24 14:04:03 [error] 29#29: *513 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/estimateEditCreate"
2025/01/24 14:23:56 [error] 34#34: *523 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/estimateEditCreate"
2025/01/24 14:26:46 [error] 31#31: *535 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/estimateEditCreate"
2025/01/26 03:37:23 [error] 33#33: *739 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/estimateEditCreate"
2025/01/26 03:46:22 [error] 34#34: *743 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/estimateEditCreate"
2025/01/26 07:42:05 [error] 31#31: *6 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/estimateEditUpdate/377"
2025/01/26 09:58:13 [error] 29#29: *65 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/estimateEditUpdate/377"
2025/01/27 07:02:33 [error] 28#28: *36 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/estimates"
2025/01/27 07:07:13 [error] 28#28: *41 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/estimates"
2025/01/27 07:12:05 [error] 28#28: *41 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/estimates"
2025/01/27 07:15:19 [error] 29#29: *53 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.19.0.1, server: _, request: "POST /livewire/update HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8083", referrer: "http://localhost:8083/ja/estimates"
